           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        0.3350000000         4.6518550675         1.3992310243         1.3995117694         1.3965824825         0.9085635488 
        0.3400000000         4.6108198138         1.3966839240         1.3944191484         1.4042213986         1.0130652326 
        0.3450000000         4.5677014357         1.4068723253         1.3944191484         1.4067677040         1.1124692733 
        0.3500001000         4.5225415626         1.3941368236         1.3944191484         1.3965824825         1.1914827415 
        0.3550001000         4.4753865682         1.3864955226         1.3867802168         1.3965824825         1.2806914960 
        0.3600000000         4.4262831069         1.3992310243         1.3995117694         1.3991287878         1.3775467151 
        0.3650000000         4.3752776741         1.3966839240         1.3969654589         1.4042213986         1.4667554696 
        0.3700000000         4.3224215686         1.3941368236         1.3995117694         1.3991287878         1.5534154025 
        0.3750000000         4.2677669530         1.3941368236         1.3944191484         1.3914898717         1.6400753355 
        0.3800000000         4.2113677648         1.3941368236         1.3944191484         1.3991287878         1.7267352684 
        0.3850000000         4.1532796633         1.4017781247         1.3918728378         1.3965824825         1.8159440229 
        0.3900000000         4.0935599744         1.3941368236         1.3944191484         1.4042213986         1.9077015989 
        0.3950000000         4.0322676341         1.3966839240         1.3969654589         1.3889435663         1.9841662456 
        0.4000000000         3.9694631307         1.3915897233         1.3867802168         1.3965824825         2.0810214647 
        0.4050000000         3.9052084446         1.4068723253         1.3969654589         1.3965824825         2.1574861114 
        0.4100000000         3.8395669874         1.3966839240         1.3918728378         1.4067677040         2.2390484012 
        0.4150001000         3.7726021873         1.3966839240         1.3944191484         1.3889435663         2.3257083342 
        0.4200001000         3.7043828088         1.3992310243         1.3995117694         1.3940361771         2.3996241593 
        0.4250000000         3.6349762493         1.4017781247         1.3918728378         1.4016750932         2.4862840922 
        0.4300000000         3.5644482289         1.3966839240         1.3918728378         1.4093140094         2.5601999174 
        0.4350000000         3.4928697266         1.3915897233         1.3918728378         1.4067677040         2.6468598503 
        0.4400000000         3.4203113817         1.3864955226         1.3867802168         1.3991287878         2.7182268539 
        0.4450000000         3.3468448006         1.3839484223         1.3944191484         1.3991287878         2.7946915006 
        0.4500000000         3.2725424859         1.3915897233         1.3969654589         1.3940361771         2.8660585041 
        0.4550000000         3.1974777651         1.4145136264         1.3995117694         1.3991287878         2.9450719724 
        0.4600000000         3.1217247179         1.3864955226         1.3867802168         1.4042213986         3.0266342622 
        0.4650000000         3.0453581035         1.3890426230         1.3867802168         1.3965824825         3.0929036227 
        0.4700000000         2.9684532865         1.3992310243         1.3944191484         1.3914898717         3.1617218047 
        0.4750001000         2.8910846111         1.3966839240         1.3944191484         1.3889435663         3.2305399867 
        0.4800001000         2.8133315255         1.4043252250         1.3995117694         1.3965824825         3.3070046334 
        0.4850000000         2.7352707833         1.3966839240         1.3867802168         1.4042213986         3.3860181017 
        0.4900000000         2.6569762988         1.3941368236         1.3944191484         1.4067677040         3.4548362837 
        0.4950000000         2.5785268977         1.3966839240         1.3969654589         1.4042213986         3.5211056441 
        0.5000000000         2.5000000000         1.3864955226         1.3893265273         1.3965824825         3.5797285399 
        0.5050000000         2.4214731023         1.3966839240         1.3944191484         1.3940361771         3.6383514357 
