           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        2.4000000000         1.5000000000         0.6956615338         0.9189969359       -13.5050252246 
        2.4050000000         1.5000000000         0.6854657278         0.8552817292       -13.7706228121 
        2.4100001000         1.5000000000         0.7007594367         0.8043095639       -13.3722264308 
        2.4150000000         1.5000000000         0.7007594367         0.7609832233       -13.3722264308 
        2.4200000000         1.5000000000         0.7033083882         0.7100110580       -13.3058270340 
        2.4250001000         1.5000000000         0.7007594367         0.6564902844       -13.3722264308 
        2.4300001000         1.5000000000         0.7084062912         0.6106153356       -13.1730282402 
        2.4350000000         1.5000000000         0.6956615338         0.5418029123       -13.5050252246 
        2.4400001000         1.5000000000         0.6931125823         0.4908307470       -13.5714246215 
        2.4450000000         1.5000000000         0.7007594367         0.4424071899       -13.3722264308 
        2.4500000000         1.5000000000         0.6982104853         0.3939836328       -13.4386258277 
        2.4550000000         1.5000000000         0.7007594367         0.3404628592       -13.3722264308 
        2.4600000000         1.5000000000         0.6956615338         0.2767476525       -13.5050252246 
        2.4650000000         1.5000000000         0.7033083882         0.2308727037       -13.3058270340 
        2.4700000000         1.5000000000         0.6982104853         0.1773519301       -13.4386258277 
        2.4750000000         1.5000000000         0.6982104853         0.1212825482       -13.4386258277 
        2.4800000000         1.5000000000         0.7084062912         0.0754075994       -13.1730282402 
        2.4850000000         1.5000000000         0.7007594367         0.0193382175       -13.3722264308 
        2.4900000000         1.5000000000         0.7084062912        -0.0010506486       -13.1730282402 
        2.4950000000         1.5000000000         0.7084062912         0.0014979597       -13.1730282402 
        2.5000000000         1.5000000000         0.7084062912         1.0973995146       -13.1730282402 
        2.5050000000         1.5000000000         0.7186020971         4.9967701637       -12.9074306528 
        2.5100000000         1.5000000000         0.7186020971         5.0018673802       -12.9074306528 
        2.5150001000         1.5000000000         0.7211510486         5.0095132050       -12.8410312559 
        2.5200000000         1.5000000000         0.7160531457         4.9610896479       -12.9738300496 
        2.5250000000         1.5000000000         0.7135041942         4.9126660908       -13.0402294465 
        2.5300000000         1.5000000000         0.7135041942         4.8591453172       -13.0402294465 
        2.5350001000         1.5000000000         0.7058573397         4.8081731519       -13.2394276371 
        2.5400000000         1.5000000000         0.6956615338         4.7444579452       -13.5050252246 
        2.5450000000         1.5000000000         0.6931125823         4.6909371716       -13.5714246215 
        2.5500001000         1.5000000000         0.7007594367         4.6374163980       -13.3722264308 
        2.5550001000         1.5000000000         0.7033083882         4.5838956243       -13.3058270340 
        2.5600000000         1.5000000000         0.7033083882         4.5278262425       -13.3058270340 
        2.5650001000         1.5000000000         0.7007594367         4.4743054688       -13.3722264308 
        2.5700000000         1.5000000000         0.7109552427         4.4284305200       -13.1066288434 
        2.5750000000         1.5000000000         0.7058573397         4.3723611382       -13.2394276371 
        2.5800000000         1.5000000000         0.7033083882         4.3137431480       -13.3058270340 
        2.5850000000         1.5000000000         0.7033083882         4.2704168075       -13.3058270340 
        2.5900000000         1.5000000000         0.7007594367         4.2092502090       -13.3722264308 
        2.5950000000         1.5000000000         0.7007594367         4.1557294354       -13.3722264308 
        2.6000000000         1.5000000000         0.7109552427         4.1124030949       -13.1066288434 
        2.6050000000         1.5000000000         0.7109552427         4.0563337130       -13.1066288434 
        2.6100000000         1.5000000000         0.7007594367         3.9977157229       -13.3722264308 
        2.6150000000         1.5000000000         0.6956615338         3.9441949492       -13.5050252246 
        2.6200000000         1.5000000000         0.6905636308         3.8830283508       -13.6378240183 
        2.6250000000         1.5000000000         0.7058573397         3.8473478351       -13.2394276371 
        2.6300000000         1.5000000000         0.7109552427         3.7912784532       -13.1066288434 
        2.6350000000         1.5000000000         0.6956615338         3.7301118548       -13.5050252246 
        2.6400001000         1.5000000000         0.7033083882         3.6816882977       -13.3058270340 
        2.6450000000         1.5000000000         0.7007594367         3.6332647406       -13.3722264308 
        2.6500000000         1.5000000000         0.7007594367         3.5797439670       -13.3722264308 
        2.6550000000         1.5000000000         0.7058573397         3.5262231934       -13.2394276371 
        2.6600001000         1.5000000000         0.6931125823         3.4752510280       -13.5714246215 
        2.6650000000         1.5000000000         0.6905636308         3.4217302544       -13.6378240183 
        2.6700000000         1.5000000000         0.7007594367         3.3758553056       -13.3722264308 
        2.6750001000         1.5000000000         0.6982104853         3.3121400989       -13.4386258277 
