           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.7600000000        -0.4600000000         0.8868328952        -8.5246201677         2.5866737177 
        0.7650000000        -0.4600000000         0.8817349922        -8.6574189614         2.5386335836 
        0.7700000000        -0.4600000000         0.8868328952        -8.5246201677         2.5034041520 
        0.7750000000        -0.4600000000         0.8970287012        -8.2590225802         2.4585666935 
        0.7800000000        -0.4600000000         0.8817349922        -8.6574189614         2.4073238839 
        0.7850000000        -0.4600000000         0.8715391863        -8.9230165489         2.3560810742 
        0.7900000000        -0.4600000000         0.8740881378        -8.8566171520         2.3304596694 
        0.7950000000        -0.4600000000         0.8766370893        -8.7902177552         2.2888248865 
        0.8000000000        -0.4600000000         0.8791860408        -8.7238183583         2.2279740500 
        0.8050000000        -0.4600000000         0.8842839437        -8.5910195645         2.1831365916 
        0.8100000000        -0.4600000000         0.8638923318        -9.1222147395         2.1479071600 
        0.8150000000        -0.4600000000         0.8791860408        -8.7238183583         2.1062723771 
        0.8200000000        -0.4600000000         0.8689902348        -8.9894159458         2.0550295674 
        0.8250000000        -0.4600000000         0.8842839437        -8.5910195645         2.0165974602 
        0.8300001000        -0.4600000000         0.8664412833        -9.0558153426         1.9685573261 
        0.8350001000        -0.4600000000         0.8689902348        -8.9894159458         1.9269225433 
        0.8400000000        -0.4600000000         0.8689902348        -8.9894159458         1.8788824092 
        0.8450000000        -0.4600000000         0.8868328952        -8.5246201677         1.8372476264 
        0.8500000000        -0.4600000000         0.8613433804        -9.1886141364         1.7860048167 
        0.8550000000        -0.4600000000         0.8562454774        -9.3214129301         1.7443700339 
        0.8600000000        -0.4600000000         0.8842839437        -8.5910195645         1.7059379266 
        0.8650000000        -0.4600000000         0.8638923318        -9.1222147395         1.6675058194 
        0.8700000000        -0.4600000000         0.8740881378        -8.8566171520         1.6290737121 
        0.8750000000        -0.4600000000         0.8613433804        -9.1886141364         1.5874389293 
        0.8800000000        -0.4600000000         0.8740881378        -8.8566171520         1.5361961196 
        0.8850000000        -0.4600000000         0.8715391863        -8.9230165489         1.4881559856 
        0.8900000000        -0.4600000000         0.8868328952        -8.5246201677         1.4561292295 
        0.8950000000        -0.4600000000         0.8536965259        -9.3878123270         1.4144944467 
        0.9000000000        -0.4600000000         0.8842839437        -8.5910195645         1.3600489614 
        0.9050000000        -0.4600000000         0.8715391863        -8.9230165489         1.3248195298 
        0.9100000000        -0.4600000000         0.8842839437        -8.5910195645         1.2895900981 
        0.9150000000        -0.4600000000         0.8766370893        -8.7902177552         1.2479553153 
        0.9200000000        -0.4600000000         0.8689902348        -8.9894159458         1.1871044788 
        0.9250000000        -0.4600000000         0.8817349922        -8.6574189614         1.1486723716 
        0.9300000000        -0.4600000000         0.8587944289        -9.2550135332         1.1070375887 
        0.9350000000        -0.4600000000         0.8970287012        -8.2590225802         1.0782135083 
        0.9400068000        -0.4600000000         0.8638923318        -9.1222147395         1.0173626718 
        0.9450000000        -0.4600000000         0.8842839437        -8.5910195645         0.9821332402 
        0.9500000000        -0.4600000000         0.8842839437        -8.5910195645         0.9501064841 
        0.9550001000        -0.4600000000         0.8689902348        -8.9894159458         0.8892556476 
        0.9600001000        -0.4600000000         0.8689902348        -8.9894159458         0.8540262160 
        0.9650000000        -0.4600000000         0.8868328952        -8.5246201677         0.8091887576 
        0.9700000000        -0.4600000000         0.8715391863        -8.9230165489         0.7739593259 
        0.9750000000        -0.4600000000         0.8842839437        -8.5910195645         0.7291218675 
        0.9800000000        -0.4600000000         0.8817349922        -8.6574189614         0.6842844090 
        0.9850000000        -0.4600000000         0.8740881378        -8.8566171520         0.6522576530 
        0.9900000000        -0.4600000000         0.8995776526        -8.1926231833         0.6042175189 
