           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.7350001000         0.7800000000         1.8146512361        15.6447602928        -2.4287162779 
        0.7400001000         0.7800000000         1.7968085757        15.1799645147        -2.3678654414 
        0.7450001000         0.7800000000         1.8121022846        15.5783608959        -2.2781905245 
        0.7500000000         0.7800000000         1.8095533331        15.5119614990        -2.2045289856 
        0.7550000000         0.7800000000         1.8095533331        15.5119614990        -2.1340701224 
        0.7600000000         0.7800000000         1.8044554301        15.3791627053        -2.0540032323 
        0.7650000000         0.7800000000         1.8197491390        15.7775590865        -1.9739363422 
        0.7700001000         0.7800000000         1.8095533331        15.5119614990        -1.9130855057 
        0.7750001000         0.7800000000         1.8070043816        15.4455621022        -1.8362212912 
        0.7800000000         0.7800000000         1.7993575272        15.2463639116        -1.7689651035 
        0.7850000000         0.7800000000         1.8070043816        15.4455621022        -1.6921008890 
        0.7900000000         0.7800000000         1.8197491390        15.7775590865        -1.6056286477 
        0.7950000000         0.7800000000         1.8121022846        15.5783608959        -1.5319671088 
        0.8000001000         0.7800000000         1.8222980905        15.8439584834        -1.4519002187 
        0.8050001000         0.7800000000         1.8146512361        15.6447602928        -1.3942520579 
        0.8100001000         0.7800000000         1.8070043816        15.4455621022        -1.2981717898 
        0.8150000000         0.7800000000         1.8222980905        15.8439584834        -1.2245102509 
        0.8200001000         0.7800000000         1.8222980905        15.8439584834        -1.1444433608 
        0.8250001000         0.7800000000         1.8095533331        15.5119614990        -1.0771871731 
        0.8300001000         0.7800000000         1.8197491390        15.7775590865        -1.0163363366 
        0.8350001000         0.7800000000         1.8146512361        15.6447602928        -0.9266614197 
        0.8400001000         0.7800000000         1.8197491390        15.7775590865        -0.8497972052 
        0.8450000000         0.7800000000         1.7968085757        15.1799645147        -0.7793383419 
        0.8500000000         0.7800000000         1.8375917995        16.2423548646        -0.7024741275 
        0.8550000000         0.7800000000         1.8070043816        15.4455621022        -0.6320152642 
        0.8600001000         0.7800000000         1.8197491390        15.7775590865        -0.5583537253 
        0.8650001000         0.7800000000         1.8019064786        15.3127633084        -0.4814895108 
        0.8700001000         0.7800000000         1.8197491390        15.7775590865        -0.3950172695 
        0.8750000000         0.7800000000         1.8070043816        15.4455621022        -0.3309637574 
        0.8800000000         0.7800000000         1.8222980905        15.8439584834        -0.2540995429 
        0.8850000000         0.7800000000         1.7917106727        15.0471657209        -0.1900460308 
        0.8900000000         0.7800000000         1.8121022846        15.5783608959        -0.1099791407 
        0.8950001000         0.7800000000         1.8070043816        15.4455621022        -0.0299122506 
        0.9000001000         0.7800000000         1.8197491390        15.7775590865         0.0501546394 
        0.9050000000         0.7800000000         1.8070043816        15.4455621022         0.1174108271 
