           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.6650000000         3.3200000000         1.6081861657        10.3107639435         2.6795513102 
        0.6700000000         3.3200000000         1.6336756806        10.9747579122         2.7243887686 
        0.6750000000         3.3200000000         1.6234798746        10.7091603247         2.7916449563 
        0.6800000000         3.3200000000         1.6387735836        11.1075567059         2.8556984684 
        0.6850000000         3.3200000000         1.6260288261        10.7755597215         2.9005359268 
        0.6900000000         3.3200000000         1.6464204380        11.3067548965         2.9581840877 
        0.6950001000         3.3200000000         1.6056372142        10.2443645466         3.0062242218 
        0.7000001000         3.3200000000         1.6285777776        10.8419591184         3.0574670314 
        0.7050001000         3.3200000000         1.6183819717        10.5763615309         3.1119125167 
        0.7100000000         3.3200000000         1.6489693895        11.3731542934         3.1471419483 
        0.7150000000         3.3200000000         1.6107351172        10.3771633403         3.1439392727 
        0.7200000000         3.3200000000         1.6515183410        11.4395536902        -1.7273303207 
        0.7250000000         3.3200000000         1.6285777776        10.8419591184        -1.7497490499 
        0.7300000000         3.3200000000         1.6387735836        11.1075567059        -3.1461156132 
        0.7350000000         3.3200000000         1.6413225350        11.1739561028        -3.1301022351 
        0.7400000000         3.3200000000         1.6336756806        10.9747579122        -3.1429129376 
        0.7450000000         3.3200000000         1.6285777776        10.8419591184        -3.1076835059 
        0.7500000000         3.3200000000         1.6362246321        11.0411573090        -3.0404273182 
        0.7550000000         3.3200000000         1.6387735836        11.1075567059        -2.9891845086 
        0.7600000000         3.3200000000         1.7381826915        13.6971331838        -2.9219283209 
        0.7650000000         3.3200000000         1.6158330202        10.5099621341        -2.8770908624 
        0.7700000000         3.3200000000         1.6744589044        12.0371482621        -2.8290507284 
        0.7750000000         3.3200000000         1.6387735836        11.1075567059        -2.7617945407 
        0.7800000000         3.3200000000         1.6438714865        11.2403554996        -2.6977410286 
        0.7850000000         3.3200000000         1.6821057588        12.2363464527        -2.6432955434 
        0.7900000000         3.3200000000         1.6336756806        10.9747579122        -2.5984580849 
        0.7950000000         3.3200000000         1.6387735836        11.1075567059        -2.5408099240 
        0.8000000000         3.3200000000         1.6413225350        11.1739561028        -2.4863644388 
        0.8050000000         3.3200000000         1.6413225350        11.1739561028        -2.4319189535 
        0.8100000000         3.3200000000         1.6489693895        11.3731542934        -2.3838788195 
        0.8150000000         3.3200000000         1.6285777776        10.8419591184        -2.3262306586 
        0.8200001000         3.3200000000         1.6515183410        11.4395536902        -2.2653798221 
        0.8250001000         3.3200000000         1.6336756806        10.9747579122        -2.2077316612 
        0.8300001000         3.3200000000         1.6591651954        11.6387518809        -2.1468808248 
        0.8350001000         3.3200000000         1.6387735836        11.1075567059        -2.0988406907 
        0.8400000000         3.3200000000         1.7636722064        14.3611271525        -2.0443952055 
        0.8450000000         3.3200000000         1.6489693895        11.3731542934        -1.9803416934 
        0.8500000000         3.3200000000         1.6515183410        11.4395536902        -1.9323015593 
        0.8550000000         3.3200000000         1.6489693895        11.3731542934        -1.8778560741 
        0.8600000000         3.3200000000         1.6311267291        10.9083585153        -1.8298159400 
        0.8650000000         3.3200000000         1.6566162440        11.5723524840        -1.7721677791 
        0.8700000000         3.3200000000         1.6617141469        11.7051512777        -1.7017089158 
        0.8750047000         3.3200000000         1.6464204380        11.3067548965        -1.6568714574 
        0.8800000000         3.3200000000         1.6515183410        11.4395536902        -1.5992232965 
        0.8850000000         3.3200000000         1.6336756806        10.9747579122        -1.5479804869 
        0.8900015000         3.3200000000         1.6591651954        11.6387518809        -1.4903323260 
        0.8950000000         3.3200000000         1.6438714865        11.2403554996        -1.4422921919 
        0.9000000000         3.3200000000         1.6540672925        11.5059530871        -1.3782386799 
        0.9050000000         3.3200000000         1.6387735836        11.1075567059        -1.3301985458 
        0.9100000000         3.3200000000         1.6617141469        11.7051512777        -1.2629423581 
        0.9150000000         3.3200000000         1.6387735836        11.1075567059        -1.2181048997 
        0.9200000000         3.3200000000         1.6591651954        11.6387518809        -1.1604567388 
        0.9250000000         3.3200000000         1.6387735836        11.1075567059        -1.1060112535 
        0.9300000000         3.3200000000         1.6642630984        11.7715506746        -1.0419577415 
        0.9350000000         3.3200000000         1.6540672925        11.5059530871        -0.9939176074 
        0.9400000000         3.3200000000         1.6668120499        11.8379500715        -0.9330667709 
        0.9450001000         3.3200000000         1.6540672925        11.5059530871        -0.8754186101 
        0.9500001000         3.3200000000         1.6489693895        11.3731542934        -0.8241758004 
        0.9550001000         3.3200000000         1.6770078558        12.1035476589        -0.7505142615 
        0.9600001000         3.3200000000         1.6642630984        11.7715506746        -0.7184875055 
        0.9650000000         3.3200000000         1.6515183410        11.4395536902        -0.6448259666 
        0.9700000000         3.3200000000         1.6770078558        12.1035476589        -0.5967858325 
        0.9750000000         3.3200000000         1.6489693895        11.3731542934        -0.5391376717 
        0.9800000000         3.3200000000         1.6693610014        11.9043494683        -0.4782868352 
        0.9850000000         3.3200000000         1.6617141469        11.7051512777        -0.4302467011 
        0.9900000000         3.3200000000         1.6591651954        11.6387518809        -0.3661931891 
        0.9950000000         3.3200000000         1.6668120499        11.8379500715        -0.3149503794 
        1.0000000000         3.3200000000         1.6770078558        12.1035476589        -0.2380861649 
        1.0050000000         3.3200000000         1.6489693895        11.3731542934        -0.1964513820 
        1.0100001000         3.3200000000         1.6846547103        12.3027458495        -0.1356005456 
        1.0150000000         3.3200000000         1.6591651954        11.6387518809        -0.0715470335 
        1.0200001000         3.3200000000         1.6719099529        11.9707488652        -0.0331149263 
        1.0250000000         3.3200000000         1.6617141469        11.7051512777         0.0309385858 
        1.0300000000         3.3200000000         1.6668120499        11.8379500715         0.0853840711 
        1.0350000000         3.3200000000         1.6413225350        11.1739561028         0.1366268808 
        1.0400000000         3.3200000000         1.6770078558        12.1035476589         0.1910723660 
        1.0450000000         3.3200000000         1.6413225350        11.1739561028         0.2551258781 
        1.0500000000         3.3200000000         1.6795568073        12.1699470558         0.3127740390 
        1.0550000000         3.3200000000         1.6515183410        11.4395536902         0.3768275510 
        1.0600000000         3.3200000000         1.6821057588        12.2363464527         0.4344757119 
        1.0650000000         3.3200000000         1.6515183410        11.4395536902         0.4953265484 
        1.0700000000         3.3200000000         1.6744589044        12.0371482621         0.5497720336 
        1.0750000000         3.3200000000         1.6489693895        11.3731542934         0.5978121677 
        1.0800000000         3.3200000000         1.6744589044        12.0371482621         0.6490549774 
        1.0850000000         3.3200000000         1.6566162440        11.5723524840         0.7131084894 
        1.0900002000         3.3200000000         1.6566162440        11.5723524840         0.7643512991 
        1.0950000000         3.3200000000         1.6489693895        11.3731542934         0.8284048112 
        1.1000000000         3.3200000000         1.6642630984        11.7715506746         0.8924583233 
        1.1050000000         3.3200000000         1.6770078558        12.1035476589         0.9469038085 
        1.1100000000         3.3200000000         1.6668120499        11.8379500715         0.9949439426 
