           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.3400000000         0.6788746800         1.6081861657        10.2872585570        -0.7729329907 
        0.3450000000         0.6820700369         1.6005393113        10.0880603664        -0.7345008835 
        0.3500001000         0.6850066892         1.6005393113        10.0880603664        -0.6864607494 
        0.3550001000         0.6876834053         1.6158330202        10.4864567476        -0.6480286422 
        0.3600000000         0.6900991855         1.6081861657        10.2872585570        -0.5871778057 
        0.3650000000         0.6922532097         1.6260288261        10.7520543351        -0.5327323204 
        0.3700000000         0.6941446100         1.6209309231        10.6192555413        -0.4750841596 
        0.3750000000         0.6957726688         1.6285777776        10.8184537319        -0.4366520523 
        0.3800000000         0.6971367684         1.6183819717        10.5528561444        -0.3854092427 
        0.3850001000         0.6982364107         1.6540672925        11.4824477006        -0.3213557306 
        0.3900001000         0.6990711345         1.6285777776        10.8184537319        -0.2861262990 
        0.3950000000         0.6996406390         1.6387735836        11.0840513194        -0.2220727869 
        0.4000000000         0.6999447309         1.6566162440        11.5488470975        -0.1580192748 
        0.4050000000         0.6999832810         1.6387735836        11.0840513194        -0.1131818163 
        0.4100000000         0.6997562744         1.6413225350        11.1504507163        -0.0587363311 
        0.4150001000         0.6992637849         1.6438714865        11.2168501131        -0.0138988726 
        0.4200001000         0.6985060189         1.6540672925        11.4824477006         0.0405466126 
        0.4250000000         0.6974832800         1.6566162440        11.5488470975         0.1142081515 
        0.4300018000         0.6961954040         1.6591651954        11.6152464944         0.1622482856 
        0.4350000000         0.6946444304         1.6489693895        11.3496489069         0.2134910952 
        0.4400000000         0.6928294146         1.6846547103        12.2792404631         0.2743419317 
        0.4450000000         0.6907515562         1.6591651954        11.6152464944         0.3383954438 
        0.4500001000         0.6884115941         1.6693610014        11.8808440818         0.3864355778 
        0.4550000000         0.6858105642         1.6566162440        11.5488470975         0.4440837387 
        0.4600000000         0.6829493052         1.6770078558        12.0800422724         0.5049345752 
        0.4650000000         0.6798289519         1.6591651954        11.6152464944         0.5625827361 
        0.4700000000         0.6764506880         1.6821057588        12.2128410662         0.6202308969 
        0.4750001000         0.6728157200         1.6693610014        11.8808440818         0.6746763822 
        0.4800001000         0.6689255723         1.6795568073        12.1464416693         0.7291218675 
        0.4850000000         0.6647817359         1.6795568073        12.1464416693         0.7899727039 
        0.4900000000         0.6603856172         1.6846547103        12.2792404631         0.8604315672 
        0.4950000000         0.6557389644         1.6489693895        11.3496489069         0.9084717013 
        0.5000000000         0.6508435401         1.6897526133        12.4120392568         0.9565118353 
        0.5050000000         0.6457012017         1.6719099529        11.9472434787         1.0205653474 
        0.5100001000         0.6403137899         1.6642630984        11.7480452881         1.0718081571 
        0.5150001000         0.6346835639         1.6846547103        12.2792404631         1.1422670204 
