           Time[sec]          ao1_Vcmd[V]         ai2_Vgyro[V]        ai3_Vpoten[V]         Wgyro[rad/s] 
        3.0550001000         5.0000000000         2.1103296084         2.0072526661        23.3466400379 
        3.0600000000         5.0000000000         2.0924869480         2.0837109141        22.8818442598 
        3.0650001000         5.0000000000         2.1103296084         2.1882038530        23.3466400379 
        3.0700000000         5.0000000000         2.1128785599         2.2723079259        23.4130394348 
        3.0750001000         5.0000000000         2.1205254144         2.3564119987        23.6122376254 
        3.0800000000         5.0000000000         2.1307212203         2.4609049376        23.8778352129 
        3.0850000000         5.0000000000         2.1128785599         2.5424604022        23.4130394348 
        3.0900000000         5.0000000000         2.1026827540         2.6291130833        23.1474418473 
        3.0950000000         5.0000000000         2.1128785599         2.7310574140        23.4130394348 
        3.1000000000         5.0000000000         2.1128785599         2.8228073116        23.4130394348 
        3.1050000000         5.0000000000         2.1077806570         2.9018141679        23.2802406411 
        3.1100000000         5.0000000000         2.1230743659         3.0037584986        23.6786370223 
        3.1150000000         5.0000000000         2.1052317055         3.0751195301        23.2138412442 
        3.1200000000         5.0000000000         2.1103296084         3.1770638608        23.3466400379 
        3.1250000000         5.0000000000         2.1179764629         3.2713623667        23.5458382285 
        3.1300000000         5.0000000000         2.1179764629         3.3605636560        23.5458382285 
        3.1350000000         5.0000000000         2.1052317055         3.4446677288        23.2138412442 
        3.1400001000         5.0000000000         2.1205254144         3.5466120595        23.6122376254 
        3.1450001000         5.0000000000         2.1026827540         3.6205216993        23.1474418473 
        3.1500000000         5.0000000000         2.1077806570         3.7250146382        23.2802406411 
        3.1550000000         5.0000000000         2.1001338025         3.8014728863        23.0810424504 
        3.1600001000         5.0000000000         2.1026827540         3.8983200004        23.1474418473 
        3.1650000000         5.0000000000         2.1001338025         4.0002643311        23.0810424504 
        3.1700000000         5.0000000000         2.1001338025         4.0843684039        23.0810424504 
        3.1750001000         5.0000000000         2.1052317055         4.1837641264        23.2138412442 
        3.1800001000         5.0000000000         2.1103296084         4.2627709827        23.3466400379 
        3.1850000000         5.0000000000         2.1179764629         4.3698125299        23.5458382285 
        3.1900001000         5.0000000000         2.1103296084         4.4513679944        23.3466400379 
        3.1950000000         5.0000000000         2.1103296084         4.5482151086        23.3466400379 
        3.2000001000         5.0000000000         2.1103296084         4.6450622228        23.3466400379 
        3.2050000000         5.0000000000         2.1103296084         4.7393607286        23.3466400379 
        3.2100000000         5.0000000000         2.1077806570         4.8285620180        23.2802406411 
        3.2150000000         5.0000000000         2.1256233174         4.9407007818        23.7450364191 
        3.2200000000         5.0000000000         2.1256233174         5.0069645967        23.7450364191 
        3.2250000000         5.0000000000         2.1205254144         4.9712840810        23.6122376254 
        3.2300000000         5.0000000000         2.1205254144        -0.0010506486        23.6122376254 
        3.2350000000         5.0000000000         2.1205254144         0.0091437845        23.6122376254 
        3.2400000000         5.0000000000         2.1179764629         0.0906992490        23.5458382285 
        3.2450000000         5.0000000000         2.1103296084         0.1926435797        23.3466400379 
        3.2500000000         5.0000000000         2.1128785599         0.2894906939        23.4130394348 
        3.2550000000         5.0000000000         2.1179764629         0.3939836328        23.5458382285 
        3.2600000000         5.0000000000         2.1179764629         0.4831849222        23.5458382285 
        3.2650001000         5.0000000000         2.1103296084         0.5647403867        23.3466400379 
