           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        0.8000000000         4.1000000000         1.9395498589         0.0065951762        18.8978804477 
        0.8050000000         4.1000000000         1.9319030044        -0.0010506486        18.6986822571 
        0.8100000000         4.1000000000         1.9268051015         0.0473729085        18.5658834633 
        0.8150000000         4.1000000000         1.9268051015         0.1187339400        18.5658834633 
        0.8200001000         4.1000000000         1.9242561500         0.1900949714        18.4994840665 
        0.8250001000         4.1000000000         1.9370009074         0.2792962608        18.8314810508 
        0.8300001000         4.1000000000         1.9268051015         0.3455600758        18.5658834633 
        0.8350001000         4.1000000000         1.9319030044         0.4220183238        18.6986822571 
        0.8400000000         4.1000000000         1.9370009074         0.4984765718        18.8314810508 
        0.8450000000         4.1000000000         1.9268051015         0.5596431702        18.5658834633 
        0.8500000000         4.1000000000         1.9370009074         0.6411986348        18.8314810508 
        0.8550000000         4.1000000000         1.9370009074         0.7125596663        18.8314810508 
        0.8600000000         4.1000000000         1.9370009074         0.7915665225        18.8314810508 
        0.8650001000         4.1000000000         1.9344519559         0.8603789458        18.7650816539 
        0.8700000000         4.1000000000         1.9293540529         0.9317399772        18.6322828602 
        0.8750000000         4.1000000000         1.9446477619         1.0081982253        19.0306792414 
        0.8800001000         4.1000000000         1.9242561500         1.0693648237        18.4994840665 
        0.8850000000         4.1000000000         1.9446477619         1.1509202882        19.0306792414 
        0.8900000000         4.1000000000         1.9370009074         1.2197327115        18.8314810508 
        0.8950000000         4.1000000000         1.9319030044         1.2885451347        18.6986822571 
        0.9000000000         4.1000000000         1.9471967133         1.3726492075        19.0970786383 
        0.9050000000         4.1000000000         1.9344519559         1.4261699811        18.7650816539 
        0.9100000000         4.1000000000         1.9344519559         1.5051768374        18.7650816539 
        0.9150000000         4.1000000000         1.9268051015         1.5714406523        18.5658834633 
        0.9200000000         4.1000000000         1.9319030044         1.6555447252        18.6986822571 
        0.9250000000         4.1000000000         1.9344519559         1.7218085401        18.7650816539 
        0.9300000000         4.1000000000         1.9446477619         1.8033640047        19.0306792414 
        0.9350000000         4.1000000000         1.9344519559         1.8645306031        18.7650816539 
        0.9400000000         4.1000000000         1.9268051015         1.9435374594        18.5658834633 
        0.9450001000         4.1000000000         1.9242561500         2.0072526661        18.4994840665 
        0.9500001000         4.1000000000         1.9191582470         2.0888081306        18.3666852727 
        0.9550001000         4.1000000000         1.9293540529         2.1627177704        18.6322828602 
        0.9600001000         4.1000000000         1.9370009074         2.2366274101        18.8314810508 
        0.9650000000         4.1000000000         1.9370009074         2.2977940085        18.8314810508 
        0.9700000000         4.1000000000         1.9370009074         2.3818980814        18.8314810508 
        0.9750000000         4.1000000000         1.9319030044         2.4507105046        18.6986822571 
        0.9800000000         4.1000000000         1.9268051015         2.5220715361        18.5658834633 
        0.9850000000         4.1000000000         1.9268051015         2.5985297841        18.5658834633 
        0.9900001000         4.1000000000         1.9293540529         2.6673422073        18.6322828602 
        0.9950000000         4.1000000000         1.9344519559         2.7438004553        18.7650816539 
        1.0000000000         4.1000000000         1.9344519559         2.8049670537        18.7650816539 
        1.0050001000         4.1000000000         1.9471967133         2.8865225183        19.0970786383 
        1.0100001000         4.1000000000         1.9242561500         2.9451405084        18.4994840665 
        1.0150000000         4.1000000000         1.9344519559         3.0266959730        18.7650816539 
        1.0200001000         4.1000000000         1.9344519559         3.0955083962        18.7650816539 
        1.0250000000         4.1000000000         1.9344519559         3.1668694277        18.7650816539 
        1.0300000000         4.1000000000         1.9395498589         3.2458762840        18.8978804477 
        1.0350000000         4.1000000000         1.9268051015         3.3070428824        18.5658834633 
        1.0400000000         4.1000000000         1.9344519559         3.3835011304        18.7650816539 
        1.0450000000         4.1000000000         1.9395498589         3.4574107702        18.8978804477 
        1.0500000000         4.1000000000         1.9344519559         3.5313204099        18.7650816539 
        1.0550000000         4.1000000000         1.9395498589         3.6128758745        18.8978804477 
        1.0600000000         4.1000000000         1.9319030044         3.6714938646        18.6986822571 
        1.0650000000         4.1000000000         1.9370009074         3.7581465457        18.8314810508 
        1.0700000000         4.1000000000         1.9242561500         3.8167645359        18.4994840665 
        1.0750000000         4.1000000000         1.9344519559         3.9034172170        18.7650816539 
        1.0800000000         4.1000000000         1.9293540529         3.9696810319        18.6322828602 
        1.0850000000         4.1000000000         1.9268051015         4.0410420634        18.5658834633 
        1.0900000000         4.1000000000         1.9268051015         4.1175003114        18.5658834633 
        1.0950000000         4.1000000000         1.9293540529         4.1888613429        18.6322828602 
        1.1000000000         4.1000000000         1.9370009074         4.2627709827        18.8314810508 
        1.1050000000         4.1000000000         1.9268051015         4.3392292307        18.5658834633 
        1.1100000000         4.1000000000         1.9268051015         4.4054930456        18.5658834633 
        1.1150001000         4.1000000000         1.9319030044         4.4844999019        18.6986822571 
        1.1200000000         4.1000000000         1.9420988104         4.5635067582        18.9642798445 
        1.1250000000         4.1000000000         1.9344519559         4.6399650062        18.7650816539 
        1.1300001000         4.1000000000         1.9344519559         4.7164232542        18.7650816539 
        1.1350001000         4.1000000000         1.9446477619         4.8005273271        19.0306792414 
        1.1400000000         4.1000000000         1.9395498589         4.8718883586        18.8978804477 
        1.1450001000         4.1000000000         1.9395498589         4.9483466066        18.8978804477 
        1.1500000000         4.1000000000         1.9344519559         4.9891243388        18.7650816539 
        1.1550001000         4.1000000000         1.9446477619         5.0044159885        19.0306792414 
        1.1600000000         4.1000000000         1.9370009074         1.1050453394        18.8314810508 
        1.1650000000         4.1000000000         1.9344519559        -0.0061478651        18.7650816539 
        1.1700000000         4.1000000000         1.9471967133         0.0269840423        19.0970786383 
        1.1750000000         4.1000000000         1.9471967133         0.0957964656        19.0970786383 
        1.1800000000         4.1000000000         1.9370009074         0.1697061053        18.8314810508 
        1.1850000000         4.1000000000         1.9293540529         0.2461643533        18.6322828602 
        1.1900000000         4.1000000000         1.9370009074         0.3149767765        18.8314810508 
        1.1950000000         4.1000000000         1.9471967133         0.4016294576        19.0970786383 
        1.2000000000         4.1000000000         1.9344519559         0.4729904891        18.7650816539 
        1.2050000000         4.1000000000         1.9370009074         0.5418029123        18.8314810508 
        1.2100000000         4.1000000000         1.9395498589         0.6284555934        18.8978804477 
        1.2150000000         4.1000000000         1.9268051015         0.6845249753        18.5658834633 
        1.2200000000         4.1000000000         1.9344519559         0.7660804399        18.7650816539 
        1.2250000000         4.1000000000         1.9344519559         0.8374414714        18.7650816539 
        1.2300000000         4.1000000000         1.9344519559         0.9088025028        18.7650816539 
        1.2350000000         4.1000000000         1.9319030044         0.9852607509        18.6986822571 
        1.2400001000         4.1000000000         1.9344519559         1.0566217823        18.7650816539 
        1.2450000000         4.1000000000         1.9344519559         1.1203369890        18.7650816539 
        1.2500000000         4.1000000000         1.9446477619         1.2069896701        19.0306792414 
        1.2550001000         4.1000000000         1.9268051015         1.2681562685        18.5658834633 
        1.2600001000         4.1000000000         1.9268051015         1.3344200835        18.5658834633 
        1.2650000000         4.1000000000         1.9293540529         1.4057811150        18.6322828602 
        1.2700001000         4.1000000000         1.9497456648         1.4949824043        19.1634780351 
        1.2750000000         4.1000000000         1.9344519559         1.5586976110        18.7650816539 
        1.2800001000         4.1000000000         1.9293540529         1.6249614260        18.6322828602 
        1.2850000000         4.1000000000         1.9344519559         1.6937738492        18.7650816539 
        1.2900000000         4.1000000000         1.9344519559         1.7778779220        18.7650816539 
        1.2950000000         4.1000000000         1.9370009074         1.8517875618        18.8314810508 
        1.3000000000         4.1000000000         1.9370009074         1.9231485932        18.8314810508 
        1.3050000000         4.1000000000         1.9268051015         1.9894124082        18.5658834633 
        1.3100000000         4.1000000000         1.9268051015         2.0658706562        18.5658834633 
        1.3150000000         4.1000000000         1.9166092955         2.1372316877        18.3002858758 
        1.3200000000         4.1000000000         1.9446477619         2.2213357605        19.0306792414 
        1.3250000000         4.1000000000         1.9395498589         2.2825023589        18.8978804477 
        1.3300000000         4.1000000000         1.9446477619         2.3615092152        19.0306792414 
        1.3350000000         4.1000000000         1.9344519559         2.4354188550        18.7650816539 
        1.3400000000         4.1000000000         1.9268051015         2.5144257113        18.5658834633 
        1.3450000000         4.1000000000         1.9217071985         2.5781409179        18.4330846696 
        1.3500000000         4.1000000000         1.9344519559         2.6520505577        18.7650816539 
        1.3550000000         4.1000000000         1.9395498589         2.7234115892        18.8978804477 
        1.3600000000         4.1000000000         1.9471967133         2.7896754041        19.0970786383 
        1.3650001000         4.1000000000         1.9471967133         2.8763280852        19.0970786383 
        1.3700000000         4.1000000000         1.9319030044         2.9425919002        18.6986822571 
        1.3750000000         4.1000000000         1.9268051015         3.0088557151        18.5658834633 
        1.3800001000         4.1000000000         1.9446477619         3.0929597879        19.0306792414 
        1.3850001000         4.1000000000         1.9370009074         3.1566749946        18.8314810508 
        1.3900000000         4.1000000000         1.9370009074         3.2356818509        18.8314810508 
        1.3950001000         4.1000000000         1.9344519559         3.3019456659        18.7650816539 
        1.4000000000         4.1000000000         1.9344519559         3.3835011304        18.7650816539 
        1.4050001000         4.1000000000         1.9344519559         3.4395705123        18.7650816539 
        1.4100000000         4.1000000000         1.9420988104         3.5262231934        18.9642798445 
        1.4150000000         4.1000000000         1.9420988104         3.5848411835        18.9642798445 
        1.4200000000         4.1000000000         1.9344519559         3.6689452564        18.7650816539 
        1.4250000000         4.1000000000         1.9344519559         3.7403062879        18.7650816539 
        1.4300000000         4.1000000000         1.9319030044         3.8142159276        18.6986822571 
        1.4350000000         4.1000000000         1.9395498589         3.8906741756        18.8978804477 
        1.4400000000         4.1000000000         1.9293540529         3.9645838154        18.6322828602 
        1.4450000000         4.1000000000         1.9293540529         4.0410420634        18.6322828602 
        1.4500000000         4.1000000000         1.9242561500         4.0996600535        18.4994840665 
        1.4550000000         4.1000000000         1.9344519559         4.1888613429        18.7650816539 
        1.4600000000         4.1000000000         1.9319030044         4.2500279413        18.6986822571 
        1.4650000000         4.1000000000         1.9420988104         4.3392292307        18.9642798445 
        1.4700000000         4.1000000000         1.9344519559         4.4029444374        18.7650816539 
        1.4750000000         4.1000000000         1.9370009074         4.4768540771        18.8314810508 
        1.4800000000         4.1000000000         1.9420988104         4.5660553665        18.9642798445 
