           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.6350000000         2.5000000000         1.2130986854        31.6008450925         1.5586148488 
        0.6400013000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.6450000000         2.5000000000         1.2232944913        31.8664426799         1.5714255513 
        0.6500000000         2.5000000000         1.2207455399        31.8000432831         1.5618175245 
        0.6550000000         2.5000000000         1.2029028795        31.3352475050         1.5554121732 
        0.6600000000         2.5000000000         1.2054518309        31.4016469019         1.5650202001 
        0.6650000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.6700000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.6750000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.6800000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.6850000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.6900000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.6950000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.7000000000         2.5000000000         1.2207455399        31.8000432831         1.5746282269 
        0.7050001000         2.5000000000         1.2232944913        31.8664426799         1.5714255513 
        0.7100000000         2.5000000000         1.2156476369        31.6672444893         1.5650202001 
        0.7150000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.7200000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
        0.7250000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.7300000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        0.7350000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.7400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.7450000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.7500000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.7550000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.7600000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        0.7650000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.7700000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.7750000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.7800000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.7850099000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        0.7900000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.7950000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.8000000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.8050000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.8100000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.8150000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        0.8200000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.8250000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.8300001000         2.5000000000         1.2029028795        31.3352475050         1.5554121732 
        0.8350000000         2.5000000000         1.2105497339        31.5344456956         1.5586148488 
        0.8400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.8450000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        0.8500000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.8550000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.8600000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.8650000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.8700000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.8750000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.8800000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.8850000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
        0.8900000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.8950000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.9000000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        0.9050000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        0.9100000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.9150000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.9200000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.9250000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.9300000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.9350000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.9400000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.9450000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
        0.9500000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.9550001000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        0.9600000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
        0.9650000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.9700000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.9750000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.9803535000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.9850000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.9900000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        0.9950000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.0000000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.0050000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.0100000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.0150000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.0200000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.0250000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.0300000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.0350000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
