           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.6050000000        -0.1759150087         1.1111406260        -2.6494687339         1.3216168542 
        0.6100000000         0.6527248925         1.1213364319        -2.3838711464         1.3088061517 
        0.6150000000         1.4743555885         1.1519238497        -1.5870783840         1.3088061517 
        0.6200000000         2.2801540998         1.1901581220        -0.5910874309         1.2927927737 
        0.6250000000         3.0614674589         1.2156476369         0.0729065378         1.2959954493 
        0.6300000000         3.8099056293         1.2309413458         0.4713029190         1.2991981249 
        0.6350000000         4.5174316005         1.2080007824        -0.1262916528         1.2927927737 
        0.6400000000         5.1764476926         1.2105497339        -0.0598922560         1.2959954493 
        0.6450000000         5.7798771428         1.2105497339        -0.0598922560         1.2831847469 
        0.6500000000         6.3212400990         1.2054518309        -0.1926910497         1.2927927737 
        0.6550000000         6.7947232021         1.3252525508         2.9280806031         1.3024008005 
        0.6600000000         7.1952420125         1.3048609389         2.3968854282         1.3152115030 
        0.6650000000         7.5184956087         1.2768224726         1.6664920626         1.3152115030 
        0.6700000000         7.7610127719         1.3150567448         2.6624830157         1.3280222054 
        0.6750000000         7.9201892617         1.3354483567         3.1936781906         1.3376302322 
        0.6800000000         7.9943157811         1.3430952112         3.3928763812         1.3664543126 
        0.6850000000         7.9825963317         1.3354483567         3.1936781906         1.3856703662 
        0.6900000000         7.8851567612         1.3328994052         3.1272787938         1.3984810687 
        0.6950001000         7.7030389356         1.3405462597         3.3264769844         1.4273051491 
        0.7000001000         7.4382057807         1.3507420656         3.5920745718         1.4305078247 
        0.7050001000         7.0934983759         1.3379973082         3.2600775875         1.4689399319 
        0.7100000000         6.6726274689         1.3481931142         3.5256751750         1.5009666880 
        0.7202777000         5.5883307250         1.3252525508         2.9280806031         1.5329934440 
        0.7338204000         3.7830348626         1.3252525508         2.9280806031         1.5426014708 
        0.7358933000         3.4766636369         1.3379973082         3.2600775875         1.5650202001 
        0.7374988000         3.2349308178         1.3430952112         3.3928763812         1.5714255513 
        0.7387859000         3.0385364035         1.3227035993         2.8616812063         1.5586148488 
        0.7401054000         2.8349530437         1.3303504538         3.0608793969         1.5778309025 
