           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.2900001000        -7.7360145910         1.0983958685        -2.9814657182         1.4176971223 
        1.2950000000        -7.8535498284         1.1085916745        -2.7158681308         1.4016837443 
        1.3000001000        -7.9369189333         1.0932979656        -3.1142645120         1.3952783931 
        1.3050001000        -7.9857531518         1.0932979656        -3.1142645120         1.3792650150 
        1.3100000000        -7.9998420868         1.0703574022        -3.7118590838         1.3536436102 
        1.3150001000        -7.9791242399         1.0729063537        -3.6454596869         1.3344275566 
        1.3200001000        -7.9236899513         1.0601615963        -3.9774566713         1.3152115030 
        1.3250038000        -7.8337011336         1.0729063537        -3.6454596869         1.2991981249 
        1.3300001000        -7.7097866093         1.0525147418        -4.1766548619         1.2895900981 
        1.3350001000        -7.5522482317         1.0678084507        -3.7782584807         1.2511579909 
        1.3400001000        -7.3618506482         1.0423189359        -4.4422524494         1.2415499641 
        1.3450001000        -7.1394222630         1.0780042567        -3.5126608932         1.2287392617 
        1.3514081000        -6.8090904639         1.0372210329        -4.5750512431         1.1871044788 
        1.3550001000        -6.6024793097         1.0754553052        -3.5790602901         1.1871044788 
        1.3600001000        -6.2903009360         1.0550636933        -4.1102554650         1.1742937764 
        1.3650001000        -5.9507539844         1.0780042567        -3.5126608932         1.1518750472 
        1.3700001000        -5.5853157957         1.0525147418        -4.1766548619         1.1198482911 
        1.3750000000        -5.1955843866         1.0627105477        -3.9110572744         1.0974295619 
        1.3800001000        -4.7832314044         1.0423189359        -4.4422524494         1.0718081571 
        1.3850001000        -4.3500750046         1.0627105477        -3.9110572744         1.0622001303 
        1.3900000000        -3.8980010058         1.0601615963        -3.9774566713         1.0429840766 
        1.3950001000        -3.4289487345         1.0703574022        -3.7118590838         1.0333760498 
        1.4000001000        -2.9449866083         1.0601615963        -3.9774566713         1.0045519694 
        1.4050001000        -2.4482110880         1.0678084507        -3.7782584807         0.9821332402 
        1.4100001000        -1.9407836073         1.0601615963        -3.9774566713         0.9597145109 
        1.4150001000        -1.4249119365         1.0780042567        -3.5126608932         0.9501064841 
        1.4200000000        -0.9028510790         1.0780042567        -3.5126608932         0.9437011329 
        1.4250001000        -0.3768410630         1.0983958685        -2.9814657182         0.9212824037 
        1.4300001000         0.1507980702         1.0907490141        -3.1806639088         0.8956609989 
